run,seed,scenario_name,final_hp,fired_at_step,firing_range,steps,initial_range
0,0,Static_Close,0.754000500866479,14,812.4968617794333,15,810.9569349857164
0,0,Fast_Approach_Long,0.5146186191522831,9,2537.594707694881,10,2862.2920571808586
0,0,Medium_Approach,0.5885067679682807,15,1910.856426976465,16,2082.5511154555443
0,0,Complex_3D_Motion,0.516486685972611,21,1940.302818589131,22,1807.852498463776
0,0,ExtremeLong_Large_Lateral,0.585970390250915,24,2861.736233958179,25,2860.0756725916394
1,1,Static_Close,0.6334041827855834,11,802.5048675035064,12,800.9457299760205
1,1,Fast_Approach_Long,0.5553321198658009,10,2457.864552227698,11,2893.24788381589
1,1,Medium_Approach,0.6378822365959528,15,1805.5477707094337,16,1984.6652897945153
1,1,Complex_3D_Motion,0.5484312911823411,20,1915.8218496102845,21,1808.9268637811508
1,1,ExtremeLong_Large_Lateral,0.5369300474793564,25,3087.774242043204,26,3086.5286110285215
2,2,Static_Close,0.6546596797395359,11,782.5279914104991,12,780.9289707399453
2,2,Fast_Approach_Long,0.4824628250748921,10,2727.372801838305,11,3094.267722178284
2,2,Medium_Approach,0.6242545954739511,15,1888.1575812508465,16,2045.712105362359
2,2,Complex_3D_Motion,0.5530935858219723,21,1885.3399898486362,22,1759.4944862230868
2,2,ExtremeLong_Large_Lateral,0.5400141780585866,25,3052.0922800962153,26,3050.789189572356
3,3,Static_Close,0.6860333709209432,12,768.4802454946985,13,766.85193337149
3,3,Fast_Approach_Long,0.5108102886765841,10,2684.2750921502347,11,3090.3823395619193
3,3,Medium_Approach,0.6477077354618995,16,1808.07101806351,17,1986.6253880472948
3,3,Complex_3D_Motion,0.5336142797799296,20,1949.547201474023,21,1842.2238872536586
3,3,ExtremeLong_Large_Lateral,0.5381874169199558,25,3027.4722707934643,26,3026.0395714314423
4,4,Static_Close,0.6356151986343526,11,836.9393605718678,12,835.4444884457895
4,4,Fast_Approach_Long,0.47128169018996074,10,2776.85641560307,11,3142.873111712311
4,4,Medium_Approach,0.6471701873040879,15,1797.0538687435005,16,1975.2973168754545
4,4,Complex_3D_Motion,0.5183013915228749,21,1991.011257004444,22,1866.8943493537781
4,4,ExtremeLong_Large_Lateral,0.5395044577306772,26,3088.274192718487,27,3086.684015263299
5,5,Static_Close,0.7446763520140698,14,825.915095911054,15,824.4002338996305
5,5,Fast_Approach_Long,0.5131580902091933,9,2660.489848729563,10,3004.5976683126423
5,5,Medium_Approach,0.6521182054201887,16,1800.6630633520203,17,1976.6737761571037
5,5,Complex_3D_Motion,0.5630376455090654,21,1852.7663962141717,22,1718.7763879308902
5,5,ExtremeLong_Large_Lateral,0.5180283930508437,26,3143.7815051293687,27,3142.255857977777
6,6,Static_Close,0.6480191811430847,11,804.6082019851883,12,803.0531481177554
6,6,Fast_Approach_Long,0.508037834088348,10,2571.2466221678487,11,2960.7201719386135
6,6,Medium_Approach,0.6252473356369433,15,1852.592674860897,16,2026.5512545214292
6,6,Complex_3D_Motion,0.5531069135127935,20,1939.1513441330183,21,1832.3851790095239
6,6,ExtremeLong_Large_Lateral,0.5182069278820446,25,3145.0430970474717,26,3143.6302686555887
7,7,Static_Close,0.6305301270715037,11,811.5493654302823,12,810.0076373283734
7,7,Fast_Approach_Long,0.4956411307840257,10,2705.151252717491,11,3082.7057070735577
7,7,Medium_Approach,0.5786238037092488,15,1923.3080167974026,16,2074.7106890792525
7,7,Complex_3D_Motion,0.5335832016992584,20,1967.7279189332899,21,1853.4724971753683
7,7,ExtremeLong_Large_Lateral,0.5545614627900364,24,2985.0159956896837,25,2983.5228917647937
8,8,Static_Close,0.7445127197902245,14,787.7461890743206,15,786.1577821284448
8,8,Fast_Approach_Long,0.514639126395139,9,2565.325042139275,10,2945.613251545655
8,8,Medium_Approach,0.6367602598730981,16,1801.1473497063814,17,1978.2169613078388
8,8,Complex_3D_Motion,0.5786699748362015,20,1844.1974157614202,21,1729.2516473650992
8,8,ExtremeLong_Large_Lateral,0.5721752325424703,24,2909.8315246830725,25,2908.159364671293
9,9,Static_Close,0.748920416890213,14,831.125284620574,15,829.6199363176069
9,9,Fast_Approach_Long,0.5113737676017602,10,2609.220832590816,11,3030.944445015469
9,9,Medium_Approach,0.5939118730368947,16,1890.7630770892458,17,2083.0760240981012
9,9,Complex_3D_Motion,0.5924242832040454,20,1829.6157889409226,21,1714.7857922041674
9,9,ExtremeLong_Large_Lateral,0.5274412515391211,26,3100.7698307499704,27,3099.186431091377
10,10,Static_Close,0.78094308195583,15,837.973161390799,16,836.480136770318
10,10,Fast_Approach_Long,0.4749898971386057,9,2764.2373940018288,10,3098.533465582359
10,10,Medium_Approach,0.6446819202529556,16,1741.0966939130508,17,1927.1839208041013
10,10,Complex_3D_Motion,0.5353133501712535,21,1919.9113822528082,22,1786.591619532896
10,10,ExtremeLong_Large_Lateral,0.5287531107973922,25,3077.4344801758425,26,3075.990559412543
11,11,Static_Close,0.723313502982389,13,771.9066851360928,14,770.2856162215359
