scenario_name,mean_final_hp,std_final_hp,min_final_hp,max_final_hp,ci95_final_hp,mean_fired_step,std_fired_step,ci95_fired_step,mean_firing_range,std_firing_range,min_firing_range,max_firing_range,ci95_firing_range,firing_rate,cv_pct,cv_range_pct
Complex_3D_Motion,0.5399164083496656,0.02358229796172685,0.4904650762228413,0.5924242832040454,0.008805774777766836,20.5,0.5085476277156079,0.1898948050227816,1920.5686181279052,55.569839863815574,1826.298703332334,2005.7100933565227,20.750119223813662,100.0,4.4,2.9
ExtremeLong_Large_Lateral,0.547751638570844,0.019020750294830944,0.5180283930508437,0.585970390250915,0.0071024648858333175,24.766666666666666,0.7279320417946066,0.2718142915489597,3022.7294756523906,94.52599949530001,2860.9802952144732,3150.8242548016697,35.29658829473812,100.0,3.5,3.1
Fast_Approach_Long,0.5099414629699289,0.019464487613475405,0.47128169018996074,0.5553321198658009,0.007268159123723739,9.4,0.4982728791224395,0.18605815084444602,2619.9495441015774,90.34867887848293,2457.864552227698,2776.85641560307,33.73675114121247,100.0,3.8,3.4
Medium_Approach,0.6280838702171698,0.022493088477691898,0.5786238037092488,0.6651083367079346,0.008399057272213064,15.6,0.4982728791224396,0.18605815084444602,1829.841171025895,66.47123399065836,1711.5747125197618,1932.0376038486897,24.820766689995434,100.0,3.6,3.6
Static_Close,0.6943284995213121,0.05533647077053705,0.6305301270715037,0.8156429079086955,0.020662977772253763,12.466666666666667,1.5252661346824676,0.5695437348797402,804.9258637411954,21.929681015476806,765.6381271006564,837.973161390799,8.188677468326645,100.0,8.0,2.7
